genes	DAL_1	DAL_2	DAL_3	DAL_4	DAL_5	DAL_6	DAL_7	DAL_8	DAL_9	DAL_10	V2_1	V2_2	V2_3	V2_4	V2_5	V2_6	V2_7	V2_8	V2_9	V2_10	AB_KCs_1	AB_KCs_2	AB_KCs_3	AB_KCs_4	AB_KCs_5	AB_KCs_6	AB_KCs_7	AB_KCs_8	AB_KCs_9	AB_KCs_10	G_KCs_1	G_KCs_2	G_KCs_3	G_KCs_4	G_KCs_5	G_KCs_6	G_KCs_7	G_KCs_8	G_KCs_9	G_KCs_10	G_KCs_11	G_KCs_12	V3_1	V3_2	V3_3	V3_4	V3_5	V3_6	V3_7	V3_8	V3_9	V3_10	R27_1	R27_2	R27_3	R27_4	R27_5	R27_6	R27_7	R27_8	G386_1	G386_2	G386_3	G386_4	G386_5	G386_6	G386_7	G386_8	G386_9	G386_10
Psn	54	1	0	146	102	429	275	462	176	228	16	520	1596	69	189	207	269	195	234	569	131	134	56	522	143	299	126	296	480	151	74	809	559	232	230	47	466	388	288	312	209	491	4	333	45	1	1152	154	50	17	2	255	31	168	145	163	15	19	660	1	151	213	4	1148	701	3	52	1127	404	5
pst	748	825	2158	73	442	10804	2	222	200	41	0	11	60	1	281	99	80	14	189	322	25	22	4	16	26	116	0	139	742	101	52	41	3	73	54	33	21	37	4	18	41	71	1801	212	275	946	1223	542	825	166	203	286	710	5691	5667	67	1067	1612	1198	1188	499	400	102	722	1253	881	694	17	1188	283
Ptp10D	38	813	325	1766	1066	331	989	787	289	399	1714	598	867	1429	1106	643	888	860	611	1235	64	133	58	354	154	4	260	43	17	158	473	262	375	390	294	125	308	457	262	503	169	392	192	1029	569	652	844	251	65	909	527	133	181	89	649	453	85	11	596	380	624	232	66	1102	667	356	238	1800	213	291
pum	5263	6187	7778	22229	6317	9551	8803	11654	10109	5844	26587	22032	23421	29169	18654	18767	27315	26028	22441	13815	17200	30382	29518	36013	36304	31611	24006	23931	19598	31768	31940	25939	25554	28612	47342	14641	32460	34613	28026	32473	27823	35899	8162	14862	8066	6229	7409	9616	7671	10049	5421	6009	5458	2020	6026	8446	4454	6215	3368	11103	2977	3329	8901	7124	5439	6456	2447	5281	2793	1366
pxb	6	354	1096	803	1	432	703	652	0	84	1532	355	466	210	986	1177	626	212	437	276	298	1058	547	884	794	443	539	566	582	791	897	765	674	711	1027	400	681	1123	914	1024	471	738	396	376	650	0	117	151	0	319	39	0	2528	14	53	576	506	1019	24	1	433	0	82	2	50	3	351	73	18	360
Rac1	2225	1226	2277	4710	2912	1116	1217	3049	4684	2128	1500	2585	3191	3379	1609	2200	3425	3157	2854	2833	928	1725	1383	3262	2295	2678	1628	1816	1371	1475	2533	4935	2919	3138	3636	952	3703	4812	4121	4174	2724	5185	1012	737	1612	214	3040	965	726	1611	685	879	1064	926	939	1467	654	360	496	748	398	1335	720	231	463	184	662	884	36	42
rad	669	1857	1259	3858	575	1181	802	1986	1432	912	2020	2394	2267	3016	2446	2828	3697	4616	2946	2221	2569	6919	6758	4913	5792	7099	5656	4294	2992	4604	5237	5574	5986	4198	7214	2396	6907	6740	6343	6369	4661	5716	1	626	107	112	642	316	347	213	365	0	0	0	0	540	126	295	320	0	675	0	40	1	2	279	5	152	236	68
Rdl	6474	13047	9621	45498	9718	9925	12823	15389	13360	6759	50732	25432	42379	37889	27615	23368	33662	38685	21755	24987	50546	57129	74106	96660	69732	76864	82948	59428	41336	67434	78604	66651	59898	58407	70883	30073	61071	93404	70260	69175	54684	85617	8231	24561	12937	6946	19937	12111	9579	20039	9115	11218	6987	7343	7778	17659	4470	9792	3650	12514	2566	3850	8315	8292	11236	13473	1932	13619	7662	292
rg	603	539	73	2270	192	600	203	1474	437	295	537	793	1239	1316	1214	1343	1959	1391	717	1612	903	778	2117	2611	974	1311	2048	2166	953	1028	2373	2753	2230	1533	1111	504	1768	4470	2049	1671	1216	2364	142	739	312	164	2559	719	527	746	608	794	20	213	349	478	237	554	89	244	909	309	251	562	708	172	297	2584	527	226
Rgk1	86	52	0	7	0	0	43	0	63	1	57	163	595	256	165	100	789	265	164	68	205	559	385	589	495	719	454	636	286	223	559	2022	1493	544	885	250	918	1834	1265	975	578	638	0	0	0	0	0	44	0	0	0	108	102	107	41	245	0	37	0	210	27	1	42	1	208	1	0	320	0	7
